"","X","FIPS","County","State","Edu","Inc","Pop"
"65",137,18005,"Bartholomew County","IN",33.5,31774,82208
"66",140,13015,"Bartow County","GA",18.6,26493,108901
"67",141,48021,"Bastrop County","TX",20.7,27773,97216
"68",145,5005,"Baxter County","AR",17.9,26863,41627
"69",146,12005,"Bay County","FL",23.7,29290,175216
"70",147,26017,"Bay County","MI",19.3,27469,103856
"71",152,37013,"Beaufort County","NC",20.6,27504,44652
"72",153,45013,"Beaufort County","SC",41.2,38946,187117
"73",154,22011,"Beauregard Parish","LA",17.8,26331,36549
"74",156,42007,"Beaver County","PA",24.7,31305,168215
"75",159,27005,"Becker County","MN",25,31729,35183
"76",161,42009,"Bedford County","PA",14.7,26078,47577
"77",162,47003,"Bedford County","TN",16.6,24864,50237
"78",163,48025,"Bee County","TX",8.9,18340,31047
"79",164,33001,"Belknap County","NH",32.6,37430,63705
"80",166,48027,"Bell County","TX",25.2,26677,370647
"81",167,39013,"Belmont County","OH",16.7,27580,66497
"82",168,27007,"Beltrami County","MN",29.2,25418,46228
"83",172,50003,"Bennington County","VT",36.2,33789,37347
"84",175,5007,"Benton County","AR",33.4,34442,284333
"85",176,19011,"Benton County","IA",22.1,33301,25575
"86",178,27009,"Benton County","MN",23.6,29831,41379
"87",181,41003,"Benton County","OR",54.1,33817,95184
"88",183,53005,"Benton County","WA",30.9,32882,206873
"89",185,34003,"Bergen County","NJ",49.3,51214,955732
"90",186,45015,"Berkeley County","SC",25,29662,229861
"91",187,54003,"Berkeley County","WV",21.2,29994,122076
"92",188,42011,"Berks County","PA",24.9,31571,428849
"93",189,35001,"Bernalillo County","NM",34.4,30734,676444
"94",191,26021,"Berrien County","MI",27.8,30864,154316
"95",193,48029,"Bexar County","TX",28,27834,2009324
"96",195,13021,"Bibb County","GA",25.4,25640,157346
"97",201,16011,"Bingham County","ID",21.2,23059,47992
"98",202,19013,"Black Hawk County","IA",29.1,30563,131144
"99",204,37017,"Bladen County","NC",15.8,23440,29606
"100",209,42013,"Blair County","PA",21.3,28119,122822
"101",214,1009,"Blount County","AL",13.1,24747,59134
"102",215,47009,"Blount County","TN",24.2,30548,135280
"103",216,27013,"Blue Earth County","MN",34.8,29677,69112
"104",218,28011,"Bolivar County","MS",23.6,18843,30985
"105",222,16017,"Bonner County","ID",23.8,27918,47110
"106",223,16019,"Bonneville County","ID",31.3,28671,123964
"107",224,5009,"Boone County","AR",16.1,24727,37373
"108",225,19015,"Boone County","IA",25.3,32889,26715
"109",226,17007,"Boone County","IL",23.5,31943,53448
"110",227,18011,"Boone County","IN",49.3,48295,70812
"111",228,21015,"Boone County","KY",32.1,35991,135968
"112",229,29019,"Boone County","MO",46.1,30415,183610
"113",234,22015,"Bossier Parish","LA",25.2,28766,128746
"114",235,51023,"Botetourt County","VA",28.3,35893,33596
"115",237,8013,"Boulder County","CO",62.1,46826,330758
"116",241,48037,"Bowie County","TX",20.6,27095,92893
"117",244,49003,"Box Elder County","UT",23.9,24797,57666
"118",245,21019,"Boyd County","KY",19.4,26193,48261
"119",247,21021,"Boyle County","KY",25.2,26413,30614
"120",249,12007,"Bradford County","FL",9.9,20529,28303
"121",250,42015,"Bradford County","PA",18.7,28392,59967
"122",252,47011,"Bradley County","TN",22.3,26655,108620
"123",253,26023,"Branch County","MI",14.4,25279,44862
"124",256,48039,"Brazoria County","TX",30,34561,372031
"125",257,48041,"Brazos County","TX",41.7,27632,233849
"126",261,12009,"Brevard County","FL",30.2,32176,606612
"127",264,25005,"Bristol County","MA",28.7,35747,579200
"128",266,36005,"Bronx County","NY",20.1,21778,1472654
"129",268,46011,"Brookings County","SD",40.3,28330,34375
"130",271,36007,"Broome County","NY",28.4,28699,198683
"131",272,12011,"Broward County","FL",32.4,32909,1944375
"132",276,27015,"Brown County","MN",22.2,31237,25912
"133",278,39015,"Brown County","OH",14.9,26696,43676
"134",279,46013,"Brown County","SD",29.4,33122,38301
"135",280,48049,"Brown County","TX",19.1,27463,38095
"136",281,55009,"Brown County","WI",30.3,32874,268740
"137",283,37019,"Brunswick County","NC",29.9,33312,136693
"138",285,13029,"Bryan County","GA",33.1,31623,44738
"139",286,40013,"Bryan County","OK",21.9,23979,46067
"140",288,29021,"Buchanan County","MO",21.1,26347,84793
"141",291,42017,"Bucks County","PA",41.3,45849,646538
"142",293,31019,"Buffalo County","NE",34.6,31043,50084
"143",296,21029,"Bullitt County","KY",14.7,29333,82217
"144",297,13031,"Bulloch County","GA",27,22328,81099
"145",299,37021,"Buncombe County","NC",40.1,32426,269452
"146",300,17011,"Bureau County","IL",20.6,30255,33244
"147",302,37023,"Burke County","NC",16.4,24481,87570
"148",304,38015,"Burleigh County","ND",35.8,38804,98458
"149",306,34005,"Burlington County","NJ",38,43187,461860
"150",307,48053,"Burnet County","TX",25.4,30980,49130
"151",312,20015,"Butler County","KS",29.8,29986,67380
"152",314,29023,"Butler County","MO",13.3,21652,42130
"153",316,39017,"Butler County","OH",30.2,31921,390357
"154",317,42019,"Butler County","PA",36,37811,193763
"155",318,6007,"Butte County","CA",27.2,29506,211632
"156",322,37025,"Cabarrus County","NC",32.3,32255,225804
"157",323,54011,"Cabell County","WV",26,25271,94350
"158",324,49005,"Cache County","UT",38.3,23713,133154
"159",325,40015,"Caddo County","OK",15.4,23167,26945
"160",326,22017,"Caddo Parish","LA",23.5,26545,237848
"161",327,6009,"Calaveras County","CA",18.3,33456,45292
"162",328,22019,"Calcasieu Parish","LA",22.3,28778,216785
"163",331,37027,"Caldwell County","NC",15.7,23869,80652
"164",332,48055,"Caldwell County","TX",14.6,25086,45883
"165",334,50005,"Caledonia County","VT",29,29769,30233
"166",335,1015,"Calhoun County","AL",18.5,25345,116441
"167",341,26025,"Calhoun County","MI",21,26855,134310
"168",347,29027,"Callaway County","MO",23.1,25849,44283
"169",348,21035,"Calloway County","KY",28.5,23219,37103
"170",349,55015,"Calumet County","WI",29.4,35527,52442
"171",350,24009,"Calvert County","MD",32.4,45783,92783
"172",352,42021,"Cambria County","PA",21.1,26008,133472
"173",353,13039,"Camden County","GA",23.9,29741,54768
"174",354,29029,"Camden County","MO",21.1,28275,42745
"175",356,34007,"Camden County","NJ",32.5,35958,523485
"176",358,48061,"Cameron County","TX",17.3,17430,421017
"177",361,21037,"Campbell County","KY",36.3,34025,93076
"178",363,47013,"Campbell County","TN",12.4,24212,39272
"179",364,51031,"Campbell County","VA",22.5,27739,55696
"180",365,56005,"Campbell County","WY",18.9,34776,47026
"181",366,40017,"Canadian County","OK",27.4,30755,154405
"182",369,16027,"Canyon County","ID",18.7,22232,231105
"183",370,29031,"Cape Girardeau County","MO",31.5,28267,81710
"184",371,34009,"Cape May County","NJ",32.8,40389,95263
"185",373,42025,"Carbon County","PA",17.9,29202,64749
"186",378,27017,"Carlton County","MN",22.1,29440,36207
"187",379,24011,"Caroline County","MD",18.4,29624,33293
"188",380,51033,"Caroline County","VA",19.9,31568,30887
"189",381,5015,"Carroll County","AR",21.2,25295,28260
"190",382,13045,"Carroll County","GA",21.1,24993,119148
"191",387,24013,"Carroll County","MD",36.4,42083,172891
"192",390,33003,"Carroll County","NH",34.3,37490,50107
"193",391,39019,"Carroll County","OH",13.3,29518,26721
"194",392,47017,"Carroll County","TN",18,22394,28440
"195",393,51035,"Carroll County","VA",15,25449,29155
"196",395,21043,"Carter County","KY",12.6,18778,26627
"197",398,40019,"Carter County","OK",20.5,26094,48003
"198",399,47019,"Carter County","TN",17.5,23205,56356
"199",400,37031,"Carteret County","NC",29.1,33722,67686
"200",401,27019,"Carver County","MN",48.9,47221,106922
"201",402,30013,"Cascade County","MT",25.7,30110,84414
"202",406,18017,"Cass County","IN",13.3,24948,37870
"203",407,26027,"Cass County","MI",19.2,31295,51589
"204",408,27021,"Cass County","MN",23.2,30326,30066
"205",409,29037,"Cass County","MO",26.3,32868,107824
"206",410,38017,"Cass County","ND",40.2,37620,184525
"207",411,31025,"Cass County","NE",27.7,33851,26598
"208",412,48067,"Cass County","TX",16.4,23075,28454
"209",417,37035,"Catawba County","NC",22.6,28224,160610
"210",418,13047,"Catoosa County","GA",21.4,27308,67872
"211",420,36009,"Cattaraugus County","NY",19.1,25822,77042
"212",422,36011,"Cayuga County","NY",22.6,30509,76248
"213",423,24015,"Cecil County","MD",23.9,34810,103725
"214",427,42027,"Centre County","PA",45.5,30753,158172
"215",428,19033,"Cerro Gordo County","IA",23.6,32757,43127
"216",430,1017,"Chambers County","AL",13.3,22729,34772
"217",431,48071,"Chambers County","TX",22.7,35916,46571
"218",432,17019,"Champaign County","IL",45,30578,205865
"219",433,39021,"Champaign County","OH",16.1,27722,38714
"220",436,24017,"Charles County","MD",28.9,41717,166617
"221",438,45019,"Charleston County","SC",43.6,39914,408235
"222",439,26029,"Charlevoix County","MI",31.1,33620,26054
"223",440,12015,"Charlotte County","FL",23.4,32144,186847
"224",445,13051,"Chatham County","GA",33.6,32229,295291
"225",446,37037,"Chatham County","NC",42.4,40967,76285
"226",450,36013,"Chautauqua County","NY",22.2,26165,127657
"227",451,35005,"Chaves County","NM",18,22041,65157
"228",452,47021,"Cheatham County","TN",21,27893,41072
"229",453,26031,"Cheboygan County","MI",20.7,26393,25579
"230",454,53007,"Chelan County","WA",25.8,30870,79074
"231",455,36015,"Chemung County","NY",23.3,28778,84148
"232",456,36017,"Chenango County","NY",18.7,27708,47220
"233",458,13057,"Cherokee County","GA",38.2,36503,266620
"234",461,37039,"Cherokee County","NC",19,23902,28774
"235",462,40021,"Cherokee County","OK",26.3,22161,47078
"236",463,45021,"Cherokee County","SC",14.2,21152,56216
"237",464,48073,"Cherokee County","TX",17.2,22391,50412
"238",466,33005,"Cheshire County","NH",33.1,33946,76458
"239",467,42029,"Chester County","PA",53,50927,534413
"240",468,45023,"Chester County","SC",13.4,22324,32294
"241",470,45025,"Chesterfield County","SC",10.4,21325,43273
"242",471,51041,"Chesterfield County","VA",40.5,37658,364548
"243",479,1021,"Chilton County","AL",12.7,24658,45014
"244",480,26033,"Chippewa County","MI",21.2,25086,36785
"245",482,55017,"Chippewa County","WI",21,29991,66297
"246",483,27025,"Chisago County","MN",21.5,35021,56621
"247",484,50007,"Chittenden County","VT",51.3,39062,168323
"248",490,17021,"Christian County","IL",17.1,27361,34032
"249",491,21047,"Christian County","KY",18.1,23021,72748
"250",492,29043,"Christian County","MO",28.6,28216,88842
"251",494,35006,"Cibola County","NM",14.2,20018,27172
"252",496,12017,"Citrus County","FL",18.3,26989,153843
"253",497,41005,"Clackamas County","OR",37.4,41492,421401
"254",499,47025,"Claiborne County","TN",16.1,21566,32043
"255",501,53009,"Clallam County","WA",27.4,30283,77155
"256",502,26035,"Clare County","MI",12.6,22573,30856
"257",503,45027,"Clarendon County","SC",15.1,22824,31144
"258",504,42031,"Clarion County","PA",22.1,25157,37241
"259",508,18019,"Clark County","IN",21.2,29062,121093
"260",510,21049,"Clark County","KY",20.1,28802,36972
"261",512,32003,"Clark County","NV",24.5,30704,2265461
"262",513,39023,"Clark County","OH",18.7,27066,136001
"263",515,53011,"Clark County","WA",30.6,35860,503311
"264",516,55019,"Clark County","WI",12.6,25382,34659
"265",518,13059,"Clarke County","GA",44,23827,128671
"266",522,41007,"Clatsop County","OR",24.4,29757,41072
"267",525,12019,"Clay County","FL",24.9,30483,218245
"268",529,18021,"Clay County","IN",17,26257,26466
"269",532,27027,"Clay County","MN",34.2,30768,65318
"270",533,29047,"Clay County","MO",33.2,34560,253335
"271",541,13063,"Clayton County","GA",19.5,20970,297595
"272",544,42033,"Clearfield County","PA",15.1,24403,80562
"273",549,39025,"Clermont County","OH",28.6,34390,208601
"274",551,37045,"Cleveland County","NC",17.6,22589,99519
"275",552,40027,"Cleveland County","OK",33.4,31571,295528
"276",554,19045,"Clinton County","IA",17.9,28483,46460
"277",555,17027,"Clinton County","IL",22.3,31783,36899
"278",556,18023,"Clinton County","IN",16.3,24489,33190
"279",558,26037,"Clinton County","MI",32.1,34761,79128
"280",560,36019,"Clinton County","NY",22.9,27761,79843
"281",561,39027,"Clinton County","OH",18.9,26690,42018
"282",562,42035,"Clinton County","PA",19.5,25794,37450
"283",566,13067,"Cobb County","GA",47.4,40031,766149
"284",567,4003,"Cochise County","AZ",23.1,26819,125447
"285",569,47029,"Cocke County","TN",11.6,21867,35999
"286",570,4005,"Coconino County","AZ",36.2,27339,145101
"287",571,46029,"Codington County","SD",21.5,30043,28325
"288",572,1031,"Coffee County","AL",22.8,27806,53465
"289",573,13069,"Coffee County","GA",13,19905,43092
"290",574,47031,"Coffee County","TN",20.5,26557,57889
"291",577,1033,"Colbert County","AL",18.1,25536,57227
"292",578,29051,"Cole County","MO",33.3,30422,77279
"293",580,17029,"Coles County","IL",26,28084,46863
"294",583,45029,"Colleton County","SC",14.6,21377,38604
"295",584,12021,"Collier County","FL",36.4,45567,375752
"296",585,48085,"Collin County","TX",52.3,44548,1064465
"297",588,13071,"Colquitt County","GA",12.8,20529,45898
"298",590,12023,"Columbia County","FL",14.9,24275,69698
"299",591,13073,"Columbia County","GA",36.4,34579,156010
"300",592,36021,"Columbia County","NY",32.7,38268,61570
"301",593,41009,"Columbia County","OR",18.5,31883,52589
"302",594,42037,"Columbia County","PA",22.9,26787,64727
"303",596,55021,"Columbia County","WI",23.3,34984,58490
"304",597,39029,"Columbiana County","OH",14.9,26469,101877
"305",598,37047,"Columbus County","NC",13.8,22608,50623
"306",600,48091,"Comal County","TX",36.8,38991,161501
"307",602,40031,"Comanche County","OK",22.2,26449,121125
"308",608,6013,"Contra Costa County","CA",42.4,48178,1165927
"309",612,17031,"Cook County","IL",38.8,37552,5275541
"310",614,48097,"Cooke County","TX",20.9,30704,41668
"311",616,33007,"Coos County","NH",18.2,27393,31268
"312",617,41011,"Coos County","OR",17.8,27582,64929
"313",619,28029,"Copiah County","MS",14.5,20093,28368
"314",621,36023,"Cortland County","NY",28,28229,46809
"315",622,48099,"Coryell County","TX",16.1,22400,83093
"316",623,39031,"Coshocton County","OH",13.2,23432,36612
"317",628,1039,"Covington County","AL",15.3,23687,37570
"318",630,13077,"Coweta County","GA",30.3,33875,146158
"319",631,20035,"Cowley County","KS",21.8,24726,34549
"320",632,53015,"Cowlitz County","WA",17,28876,110730
"321",635,5031,"Craighead County","AR",26.2,26948,111231
"322",637,37049,"Craven County","NC",25.3,29521,100720
"323",638,5033,"Crawford County","AR",16,24547,60133
"324",643,20037,"Crawford County","KS",29.9,23091,38972
"325",646,39033,"Crawford County","OH",14.4,25744,42025
"326",647,42039,"Crawford County","PA",21.1,26582,83938
"327",649,40037,"Creek County","OK",17,26044,71754
"328",652,5035,"Crittenden County","AR",17.4,23172,48163
"329",660,27035,"Crow Wing County","MN",24.7,32368,66123
"330",663,1043,"Cullman County","AL",13.9,23468,87866
"331",664,51047,"Culpeper County","VA",25.7,32028,52552
"332",667,23005,"Cumberland County","ME",47.6,40527,303069
"333",668,37051,"Cumberland County","NC",25.5,24936,334728
"334",669,34011,"Cumberland County","NJ",15.6,25694,154152
"335",670,42041,"Cumberland County","PA",36.6,37500,259469
"336",671,47035,"Cumberland County","TN",18.5,25832,61145
"337",674,37053,"Currituck County","NC",23.5,31849,28100
"338",675,35009,"Curry County","NM",19.2,23021,48430
"339",681,40039,"Custer County","OK",24.8,26520,28513
"340",683,39035,"Cuyahoga County","OH",32.5,33114,1264817
"341",687,27037,"Dakota County","MN",42.2,41552,439882
"342",689,1045,"Dale County","AL",18.1,24645,49326
"343",691,1047,"Dallas County","AL",14.7,19612,38462
"344",693,19049,"Dallas County","IA",50.4,45090,99678
"345",695,48113,"Dallas County","TX",31.5,32653,2613539
"346",696,55025,"Dane County","WI",51.4,40614,561504
"347",698,37055,"Dare County","NC",34.7,34578,36915
"348",699,39037,"Darke County","OH",15.8,27855,51881
"349",700,45031,"Darlington County","SC",18.4,23027,62905
"350",701,42043,"Dauphin County","PA",30.8,33639,286401
"351",702,37057,"Davidson County","NC",18.5,25988,168930
"352",703,47037,"Davidson County","TN",41.7,36440,715884
"353",704,37059,"Davie County","NC",24,31173,42712
"354",705,18027,"Daviess County","IN",13.2,23848,33381
"355",706,21059,"Daviess County","KY",22.9,28806,103312
"356",709,49011,"Davis County","UT",37.8,31205,362679
"357",712,13085,"Dawson County","GA",30.6,34239,26798
"358",718,22031,"De Soto Parish","LA",14.8,26767,26812
"359",720,1049,"DeKalb County","AL",13,21907,71608
"360",721,13089,"DeKalb County","GA",44.2,36077,764382
"361",722,17037,"DeKalb County","IL",32.3,29430,100420
"362",723,18033,"DeKalb County","IN",18,29073,43265
"363",726,12027,"DeSoto County","FL",11.5,18503,33976
"364",727,28033,"DeSoto County","MS",25,30195,185314
"365",730,18029,"Dearborn County","IN",22.9,30800,50679
"366",731,13087,"Decatur County","GA",13.8,21568,29367
"367",733,18031,"Decatur County","IN",20.6,27006,26472
"368",737,39039,"Defiance County","OH",18,29816,38286
"369",738,6015,"Del Norte County","CA",14.8,23674,27743
"370",740,18035,"Delaware County","IN",23.7,25107,111903
"371",741,36025,"Delaware County","NY",22.6,27701,44308
"372",742,39041,"Delaware County","OH",54.3,48117,214124
"373",743,40041,"Delaware County","OK",18.1,24070,40397
"374",744,42045,"Delaware County","PA",39,40026,576830
"375",745,8029,"Delta County","CO",21.7,26499,31196
"376",746,26041,"Delta County","MI",21,27632,36903
"377",749,48121,"Denton County","TX",45.1,41153,906422
"378",750,19057,"Des Moines County","IA",20.1,29941,38910
"379",751,41017,"Deschutes County","OR",35.4,35507,198253
"380",762,26043,"Dickinson County","MI",25.7,29656,25947
"381",763,47043,"Dickson County","TN",16.2,27115,54315
"382",764,45033,"Dillon County","SC",11.1,17605,28292
"383",766,51053,"Dinwiddie County","VA",18.6,28922,27947
"384",773,31053,"Dodge County","NE",19,28019,37167
"385",774,55027,"Dodge County","WI",17,29726,89396
"386",779,55029,"Door County","WI",33.7,38744,30066
"387",780,24019,"Dorchester County","MD",21.2,30293,32531
"388",781,45035,"Dorchester County","SC",28.2,29853,161540
"389",782,13095,"Dougherty County","GA",21.4,22059,85790
"390",783,8035,"Douglas County","CO",58,53313,357978
"391",784,13097,"Douglas County","GA",28.2,27743,144237
"392",786,20045,"Douglas County","KS",49.6,32281,118785
"393",787,27041,"Douglas County","MN",26,36535,39006
"394",789,31055,"Douglas County","NE",39.7,35307,584526
"395",790,32005,"Douglas County","NV",29.4,38814,49488
"396",791,41019,"Douglas County","OR",17.3,26478,111201
"397",793,53017,"Douglas County","WA",20.5,30544,42938
"398",794,55031,"Douglas County","WI",24.1,30153,44295
"399",796,17043,"DuPage County","IL",49.4,46272,932877
"400",797,18037,"Dubois County","IN",23.7,30366,43637
"401",798,19061,"Dubuque County","IA",30.8,32905,99266
"402",802,29069,"Dunklin County","MO",13.8,21801,28283
"403",804,55033,"Dunn County","WI",27.9,28034,45440
"404",805,37061,"Duplin County","NC",12.1,20254,48715
"405",806,37063,"Durham County","NC",48.2,35398,324833
"406",807,36027,"Dutchess County","NY",35,40093,295911
"407",808,12031,"Duval County","FL",30,31327,995567
"408",810,47045,"Dyer County","TN",16.1,27710,36801
"409",811,8037,"Eagle County","CO",47.2,44391,55731
"410",813,22033,"East Baton Rouge Parish","LA",34.9,32431,456781
"411",817,26045,"Eaton County","MI",27.8,33427,109175
"412",818,55035,"Eau Claire County","WI",32.3,30983,105710
"413",820,48135,"Ector County","TX",15.4,28954,165171
"414",822,35015,"Eddy County","NM",16.2,30246,62314
"415",824,37065,"Edgecombe County","NC",13.6,20626,48900
"416",825,45037,"Edgefield County","SC",16.7,26228,25657
"417",831,13103,"Effingham County","GA",20,31704,64769
"418",832,17049,"Effingham County","IL",22.7,31665,34668
"419",833,6017,"El Dorado County","CA",34.3,42749,191185
"420",834,8041,"El Paso County","CO",38.5,33728,730395
"421",835,48141,"El Paso County","TX",23.3,21683,865657
"422",836,8039,"Elbert County","CO",35.8,44690,26062
"423",839,42047,"Elk County","PA",19.6,29772,30990
"424",840,18039,"Elkhart County","IN",19.8,26150,207047
"425",841,32007,"Elko County","NV",16.6,33875,53702
"426",843,20051,"Ellis County","KS",36.3,30956,28934
"427",845,48139,"Ellis County","TX",24.3,32571,192455
"428",847,1051,"Elmore County","AL",25.1,29052,87977
"429",848,16039,"Elmore County","ID",18.7,23028,28666
"430",852,26047,"Emmet County","MI",33.4,34074,34112
"431",854,48143,"Erath County","TX",31.5,27639,42545
"432",855,36029,"Erie County","NY",34.4,33598,954236
"433",856,39043,"Erie County","OH",23.2,32790,75622
"434",857,42049,"Erie County","PA",27.9,28306,270876
"435",858,1053,"Escambia County","AL",12.5,19028,36757
"436",859,12033,"Escambia County","FL",26.5,28022,321905
"437",861,34013,"Essex County","NJ",35.5,38722,863728
"438",862,36031,"Essex County","NY",26.8,31667,37381
"439",866,1055,"Etowah County","AL",17.8,24883,103436
"440",868,22039,"Evangeline Parish","LA",11.6,18770,32350
"441",870,51059,"Fairfax County","VA",61.6,56231,1150309
"442",871,39045,"Fairfield County","OH",27.6,32021,158921
"443",877,48147,"Fannin County","TX",17.4,27112,35662
"444",880,5045,"Faulkner County","AR",30.6,26913,123498
"445",881,51061,"Fauquier County","VA",36.4,45408,72972
"446",883,13113,"Fayette County","GA",46.2,44061,119194
"447",887,21067,"Fayette County","KY",43.6,34442,322570
"448",888,39047,"Fayette County","OH",16.3,26079,28951
"449",889,42051,"Fayette County","PA",17.3,27368,128804
"450",890,47047,"Fayette County","TN",22.2,33383,41990
"451",892,54019,"Fayette County","WV",14.8,21914,40488
"452",898,20055,"Finney County","KS",17.1,24152,38470
"453",900,12035,"Flagler County","FL",25.1,29383,115378
"454",901,30029,"Flathead County","MT",31,31694,104357
"455",903,45041,"Florence County","SC",23.6,26127,137059
"456",905,13115,"Floyd County","GA",20.9,25776,98584
"457",907,18043,"Floyd County","IN",29.6,33478,80484
"458",908,21071,"Floyd County","KY",11.3,19471,35942
"459",911,51065,"Fluvanna County","VA",33.9,39633,27249
"460",913,55039,"Fond du Lac County","WI",23.1,31653,104154
"461",915,20057,"Ford County","KS",17.7,23293,34287
"462",918,28035,"Forrest County","MS",27.8,22534,78158
"463",919,13117,"Forsyth County","GA",53.1,43832,251283
"464",920,37067,"Forsyth County","NC",34,30769,382590
"465",921,48157,"Fort Bend County","TX",46.2,39994,822779
"466",924,1059,"Franklin County","AL",14,21641,32113
"467",930,17055,"Franklin County","IL",16.7,24098,37804
"468",932,20059,"Franklin County","KS",20.4,26998,25996
"469",933,21073,"Franklin County","KY",29.9,30711,51541
"470",934,23007,"Franklin County","ME",24.8,27252,29456
"471",935,29071,"Franklin County","MO",20.9,30278,104682
"472",937,37069,"Franklin County","NC",22,27294,68573
"473",939,36033,"Franklin County","NY",19.1,25406,47555
"474",940,39049,"Franklin County","OH",40,33998,1323807
"475",941,42055,"Franklin County","PA",21.6,31221,155932
"476",942,47051,"Franklin County","TN",20.8,28317,42774
"477",944,51067,"Franklin County","VA",21.9,30487,54477
"478",945,50011,"Franklin County","VT",24.1,31195,49946
"479",946,53021,"Franklin County","WA",17.7,24380,96749
"480",948,24021,"Frederick County","MD",41.4,43582,271717
"481",949,51069,"Frederick County","VA",28.3,35123,91419
"482",950,27047,"Freeborn County","MN",17.1,29316,30895
"483",952,8043,"Fremont County","CO",18.5,22692,48939
"484",955,56013,"Fremont County","WY",24.3,28324,39234
"485",956,6019,"Fresno County","CA",21.2,24422,1008654
"486",960,13121,"Fulton County","GA",52.9,47163,1066710
"487",961,17057,"Fulton County","IL",17.6,27741,33609
"488",964,36035,"Fulton County","NY",18.2,27443,53324
"489",965,39051,"Fulton County","OH",17.6,29600,42713
"490",968,12039,"Gadsden County","FL",16.2,20734,43826
"491",973,30031,"Gallatin County","MT",50.1,36924,118960
"492",974,39053,"Gallia County","OH",15.9,24130,29220
"493",975,48167,"Galveston County","TX",31.1,36819,350682
"494",977,8045,"Garfield County","CO",31,33393,61685
"495",980,40047,"Garfield County","OK",22.9,28333,62846
"496",983,5051,"Garland County","AR",21.6,27171,100180
"497",985,24023,"Garrett County","MD",20.9,30617,28806
"498",986,40049,"Garvin County","OK",14.7,24880,25656
"499",989,37071,"Gaston County","NC",21.2,27352,227943
"500",991,20061,"Geary County","KS",23.2,23897,36739
"501",992,39055,"Geauga County","OH",38,42958,95397
"502",994,26049,"Genesee County","MI",21.2,27295,406211
"503",995,36037,"Genesee County","NY",22.3,30511,58388
"504",996,1061,"Geneva County","AL",12.5,21711,26659
"505",999,45043,"Georgetown County","SC",27.3,31382,63404
